codigo_parcela;manejo;unidad;no_unidad;initial_dung;final_dung_wet;final_dung_dry;cont_dung_dry;paper_bag;dry_paper_bag
ARG01Int;1;Exp;1;308.3;227.57;61.15;53.31;6.66;6.37
ARG01Int;1;Exp;2;312.6;223.13;60;53.31;6.66;6.37
ARG01Int;1;Exp;3;311.3;252.33;61.57;53.31;6.66;6.37
ARG01Int;1;Exp;4;295.6;240.43;57.7;53.31;6.66;6.37
ARG01Int;1;Exp;5;304.1;250.53;60.44;53.31;6.66;6.37
ARG01Int;1;Exp;6;294.1;252.27;60.75;53.31;6.66;6.37
ARG01Int;1;Exp;7;310.3;249.33;78.77;53.31;6.66;6.37
ARG01Int;1;Exp;8;309.1;240.97;63.57;53.31;6.66;6.37
ARG01Int;1;Exp;9;304.1;249.43;63.4;53.31;6.66;6.37
ARG01Int;1;Exp;10;302.6;233.53;64.32;53.31;6.66;6.37
ARG01Int;1;Cont;1;291.3;252.9;62.16;53.31;6.66;6.37
ARG01Int;1;Cont;2;301.6;237.17;63.61;53.31;6.66;6.37
ARG01Int;1;Cont;3;304.2;246.43;63.97;53.31;6.66;6.37
ARG01Int;1;Cont;4;295.8;245.03;62.35;53.31;6.66;6.37
ARG01Int;1;Cont;5;301.1;230.73;60.45;53.31;6.66;6.37
ARG01Ext;2;Exp;1;302.4;57.9;37.92;53.31;6.66;6.37
ARG01Ext;2;Exp;2;301.5;108.17;42.93;53.31;6.66;6.37
ARG01Ext;2;Exp;3;307.6;156.67;72.56;53.31;6.66;6.37
ARG01Ext;2;Exp;4;302.8;103.1;51.07;53.31;6.66;6.37
ARG01Ext;2;Exp;5;298.3;260.17;77.57;53.31;6.66;6.37
ARG01Ext;2;Exp;6;297.5;305.13;84.45;53.31;6.66;6.37
ARG01Ext;2;Exp;7;299.7;127.07;55.62;53.31;6.66;6.37
ARG01Ext;2;Exp;8;301.9;191.5;55.63;53.31;6.66;6.37
ARG01Ext;2;Exp;9;304.3;85.07;35.82;53.31;6.66;6.37
ARG01Ext;2;Exp;10;309.2;189.43;64.06;53.31;6.66;6.37
ARG01Ext;2;Cont;1;308.7;174.63;55.02;53.31;6.66;6.37
ARG01Ext;2;Cont;2;299.6;197.13;60.8;53.31;6.66;6.37
