codigo_parcela;continente;bioregion;bioma;pais;localidad;manejo;Lat;Long;Altitude_(masl);Date;cow_density_(No/ha);T_media_anual_(Cº);T_media_mes_(Cº); Precip_media_anual_(mm); Precip_media_mes_(mm);Hum_media__anual_(%);Hum_media__mes_(%);Pres_seasonality;Temp_seasonality;Ecosystem;Ecosys_surround;Grass_spp;Soil_type;land_history_(years);cattle_breed;anthelmintic
ARG01Int;SouthAmerica;Neotropical;;Argentina;La_querencia_1;1;27°44'55,08''S;59°11'18,52''W;?;11/16/2016;2.1;20.99;21.8;2211.9;238.9;76.31;73.2;spring-summer;?;?;pajonal;Elyonorus-Cynodon;arcilloso;50;braford-brangus;Yes/four_year
ARG01Ext;SouthAmerica;Neotropical;;Argentina;La_querencia_2;2;27°43'55,08''S;59°14'23,39''W;?;11/16/2016;0.68;20.99;21.8;2211.9;238.9;76.31;73.2;spring-summer;?;?;pastizal;Spartina-Paspalum-Desmodium-Cyperus;arcilloso;50;braford-brangus;?
AUS01Int;Australia;Australian;;Australia;Wombeyan_1;1;?;?;?;2/13/2017;56;11;18;810;60;55-74;52-75;?;?;?;pasture/eucalypt_forest;?;?;161;?;Yes
AUS01Ext;Australia;Australian;;Australia;Wombeyan_2;2;?;?;?;2/13/2017;0;11;18;810;60;55-74;52-75;?;?;?;pasture/eucalypt_forest;?;?;161;?;?
AUS02Int;Australia;Australian;;Australia;Kirby_1138km;1;30°26'04.1''S;151°36'53.5''E;?;12/6/2016;26;13.1;18.3;755.4;87.6;49;58.5;summer-rainfall;?;?;open_eucalypt;native-spp;granite;50;angus;No
AUS02Ext;Australia;Australian;;Australia;Kirby_1147km;2;30°26'16.2"S;151°37'34.1"E;?;12/6/2016;2;13.1;18.3;755.4;87.6;49;58.5;summer-rainfall;?;?;open_eucalypt;native-spp;granite;50;angus;No
BEL01Int;Europe;Paleartic;;Belgium;Hazegrasstraat;1;51°19'27.7''N;3°20'6.2''E;?;8/14/2016;8;10.1;18;722;79.3;?;?;atlantic_climat_no_dry_season;?;?;polder;Lolium_perenne-Holcus_lanatus;clay;centuries;belgian_blue;yearly_winter
BEL01Ext;Europe;Paleartic;;Belgium;Zwin_(Kleyne_vlakte);2;51°21'21"N;3°20'41"E;?;8/14/2016;0.5;10.1;18;722;79.3;?;?;atlantic_climat_no_dry_season;?;?;dune_grassland;Holcus-Alopecurus-Cynosurus-Agrostis-Lolium;sand-clay;15;highland_cattle;yearly_winter
BRA01Int;SouthAmerica;Neotropical;;Brazil;Campus_Samambaia_1;1;16°35'41.42"S;49°17'10.31"O;?;1/27/2016;8.9;?;?;?;?;?;?;?;?;?;Semi_deciduos_forest/pasture/urban;Panicum-Mombaca-Tanzania;?;12;Holand-Jersey;Yes/four_year
BRA01Ext;SouthAmerica;Neotropical;;Brazil;Campus_Samambaia_2;2; 16°36'10.61"S;49°16'16.23"O;?;1/27/2016;2;?;?;?;?;?;?;?;?;?;Semi_deciduos_forest/pasture/urban;Panicum-Mombaca-Tanzania;?;12;Holand-Jersey;Yes/four_year
BRA02Int;SouthAmerica;Neotropical;;Brazil;Nova_Veneza_1;1; 16°19'35.44"S;49°21'10.37"O;?;1/28/2016;5.8;?;?;?;?;?;?;?;?;?;Semi_deciduos_forest/pasture/urban;Panicum-Mombaca-Brachiara;?;20;Girolando;No
BRA02Ext;SouthAmerica;Neotropical;;Brazil;Nova_Veneza_2;2;16°19'45.14"S;49°21'40.34"O;?;1/28/2016;2.75;?;?;?;?;?;?;?;?;?;Semi_deciduos_forest/pasture/urban;Panicum-Mombaca-Brachiara;?;20;Girolando;No
BRA03Int;SouthAmerica;Neotropical;;Brazil;Jaguaruna_1;1;28°37'36.2"S;49°02'21.5"W;?;2/1/2017;10;19.8;24.1;1398;163;74;81;rainfall;?;?;litoral;Digitaria-Brachiaria;cambisols;20;jersey-dutch;Yes/10_years/twice_year
BRA03Ext;SouthAmerica;Neotropical;;Brazil;Jaguaruna_2;2;28º36'S;48º58'W;?;2/1/2017;13;19.8;24.1;1398;163;74;81;rainfall;?;?;litoral;Urochloa;cambisols;32;jersey-dutch;Yes/10_years/twice_year
CAN01Int;NorthAmerica;Neartic;;Canada;Purple_springs_1;1;49818274;-111902660;?;6/14/2016;25;6.4;15.7;381;91;61;66;rainy;?;?;dry_mixed_grassland;wheat_grass;sandy;60;black_angus;Yes/twice_year
CAN01Ext;NorthAmerica;Neartic;;Canada;Purple_springs_2;2;49841557;-111855306;?;6/14/2016;2.14;6.4;15.7;381;91;61;66;rainy;?;?;dry_mixed_grassland;wheat_grass;sandy;60;black_angus-charolais;Yes/one_year
