codigo_parcela;manejo;no_trap;Digitonthophagus_gazella;Gromphas_inermis;Ontherus_sulcator;Ataenius_gracilis;Aphodius_pseudolividus;Bubas_bison;Onitis_alexis;Onthophagus_taurus;Onthophagus_binodis;Euoniticellus_fulvus;Onthophagus_granulatus;Aphodius_sp_1;Aphodius_lividus;Geotrupes_spiniger;Onthophagus_binodis;Onthophagus_australis;Onthophagus_granulatus;Onthophagus_dandalu;Euoniticellus_fulvus;Aphodius_fimetarius;Euonticellus_africanus;Onthophagus_tamworthi;Geotrupes_spiniger;Acrossus_rufipes;Teuchestes_fossor;Onthophagus_coenobita;Onthophagus_similis;Aphodius_foetens;Bodilopsis_rufa;Nimbus_contaminatus;Agrilinus_ater;Dichotomius_nisus;Trichillum_externepunctatum;Canthidium_trinodosum;Canthon_tetraodon;Onthophagus_nuchicornus;Chilothorax_distinctus;Colobopterus_erraticus;Aphodius_pedellus;Teuchestes_fossor;Diapterna_pinguis;Homocopris_torulosus;Podotenus_fulviventris; Aphodius_sp1;Digitonthophagus_gazella;Onthophagus_marginicollis;Aphodius_sp2; Phanaeus_haroldi;Onthophagus_lebasi ;Ontherus_pubens;Onthophagus_stockwelli;Uroxys_sp1;Aphodius_sp1;Dichotomius_achamas;Onthophagus_curvicornis;Ataenius_punctipennis;Ataenius_sp.1;Digitonthophagus_gazella;Onthophagus_marginicollis;Dichotomius_satanas;Eurysternus_foedus;Aphodius_brasiliensis;Onthophagus_acuminatus;Deltochilum_panamensis;Dichotomius_fortepunctatus;Deltochilum_loperae;Eurysternus_caribaeus;Ontherus_trituberculatus;Onoreidium_ohausi;Onthophagus_curvicornis;Aphodius_sp1;Dichotomius_cotopaxi;Uroxys_sp1;Aphodius_sp2;Eurysternus_vastiorum;Aphodius_foetidus;Onthophagus_ovatus;Bodiloides_ictericus;Bubas_bison;Onthophagus_taurus;Euoniticellus_fulvus;Labarrus_lividus;Onthophagus_coenobita;Onthophagus_illyticus;Onthophagus_ruficapillus;Onthophagus_vacca;Otophorus_haemorrhoidalis;Geotrupes_spiniger;Aphodius_erraticus;Aphodius_haemorroidalis;Aphodius_sp2;Onthophagus_vacca;Onthophagus_joanae;Acanthobodilus_immundus;Agrilinus_rufus;Agrilinus_sordidus;Aphodius_foetens;Bodilus_ictericus;Bodilus_lugens;Caccobius_schreberi;Colobopterus_erraticus;Coprimorphus_scrutator;Copris_lunaris;Euheptaulacus_sus;Euoniticellus_fulvus;Euonthophagus_amyntas;Geotrupes_spiniger;Gymnopleurus_mopsus;Nialus_varians;Nobius_serotinus;Onthophagus_furcatus;Onthophagus_illyricus;Onthophagus_taurus;Onthophagus_coenobita;Onthophagus_fracticornis;Onthophagus_gibbulus;Onthophagus_grossepunctatus;Onthophagus_medius;Onthophagus_nuchicornis;Onthophagus_ovatus;Onthophagus_ruficapillus;Onthophagus_vacca;Otophorus_haemorrhoidalis;Subrinus_sturmi;Trypocopris_vernalis;Aphodius_fimetarius;Chilothorax_distinctus;Eupleurus_subterraneus;Melinopterus_consputus;Nimbus_obliteratus;Caccobius diminutivus;Caccobius meridionalis;Caccobius_Sp1;Catharcius_Sp1;Catharcius_Sp2;Cleptocaccobius inermis;Copris_Sp1;Copris_Sp2;Digitonthophagus_Sp.1;Heliocopris_bucephalus;Liatongus_rhadamistus;Oniticellus_cinctus;Onitis_virens;Onthophagus_agnus;Onthophagus_centricornis;Onthophagus_cervus;Onthophagus_dama;Onthophagus_ephippioderus;Onthophagus_negligens;Onthophagus_quadridentatus;Onthophagus_histerix;Onthophagus_Sp1;Onthophagus_Sp10;Onthophagus_Sp11;Onthophagus_Sp12;Onthophagus_Sp13;Onthophagus_Sp14;Onthophagus_Sp2;Onthophagus_Sp3;Onthophagus_Sp4;Onthophagus_Sp5;Onthophagus_Sp6;Onthophagus_Sp7;Onthophagus_Sp8;Proagoderus_pactolus;Sisyphus_Sp1;Sisyphus_Sp2;Sisyphus_Sp3;Tibiodrepanus_Sp1;Tibiodrepanus_Sp2;Tiniocellus_spinipes;Onthophagus_Sp9;Phalops_Sp1;sp175;sp176;sp177;sp178;sp179;sp180;sp181;sp182;sp183;sp184;sp185;sp186;sp187;sp188;sp189;sp190;sp191;sp192;sp193;sp194;sp195;sp196;sp197;sp198;sp199;sp200;sp201;sp202;sp203;sp204;sp205
ARG01Int;1;1;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;2;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;3;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;4;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;5;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;6;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;7;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;8;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;9;0;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG01Int;1;10;1;0;0;0;0;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
